Section,Index,X_mm,Y_mm,Z_mm,FHNode_InternalName,Label,SegWidth_mm,SegHeight_mm
Section-1,96,21.70169621,-12.0744995,0.0,FHNode095,Section-1_Node_96,0.25,0.035
Section-1,97,23.06501997,-9.23384109,0.0,FHNode096,Section-1_Node_97,0.25,0.035
Section-1,98,24.05816943,-6.24223248,0.0,FHNode097,Section-1_Node_98,0.25,0.035
Section-1,99,24.66485622,-3.14770857,0.0,FHNode098,Section-1_Node_99,0.25,0.035
Section-1,100,24.875,-0.0,0.0,FHNode099,Section-1_Node_100,0.25,0.035
Section-2,1,24.875,0.0,1.0,FHNode100,Section-2_Node_1,0.25,0.035
Section-2,2,24.66485622,3.14770857,1.0,FHNode101,Section-2_Node_2,0.25,0.035
Section-2,3,24.05816943,6.24223248,1.0,FHNode102,Section-2_Node_3,0.25,0.035
Section-2,4,23.06501997,9.23384109,1.0,FHNode103,Section-2_Node_4,0.25,0.035
Section-2,5,21.70169621,12.0744995,1.0,FHNode104,Section-2_Node_5,0.25,0.035
Section-2,6,19.99042744,14.71863989,1.0,FHNode105,Section-2_Node_6,0.25,0.035
Section-2,7,17.95902153,17.12389244,1.0,FHNode106,Section-2_Node_7,0.25,0.035
Section-2,8,15.64041306,19.25176426,1.0,FHNode107,Section-2_Node_8,0.25,0.035
Section-2,9,13.07212943,21.06825539,1.0,FHNode108,Section-2_Node_9,0.25,0.035
Section-2,10,10.29568345,22.54440207,1.0,FHNode109,Section-2_Node_10,0.25,0.035
Section-2,11,7.35590238,23.65673848,1.0,FHNode110,Section-2_Node_11,0.25,0.035
Section-2,12,4.30020418,24.38766977,1.0,FHNode111,Section-2_Node_12,0.25,0.035
Section-2,13,1.17783265,24.72575023,1.0,FHNode112,Section-2_Node_13,0.25,0.035
Section-2,14,-1.96093612,24.66586243,1.0,FHNode113,Section-2_Node_14,0.25,0.035
Section-2,15,-5.06560331,24.20929434,1.0,FHNode114,Section-2_Node_15,0.25,0.035
Section-2,16,-8.08625984,23.36371342,1.0,FHNode115,Section-2_Node_16,0.25,0.035
Section-2,17,-10.97438865,22.14303806,1.0,FHNode116,Section-2_Node_17,0.25,0.035
Section-2,18,-13.683644,20.56720859,1.0,FHNode117,Section-2_Node_18,0.25,0.035
Section-2,19,-16.17059517,18.66186165,1.0,FHNode118,Section-2_Node_19,0.25,0.035
Section-2,20,-18.39542263,16.45791312,1.0,FHNode119,Section-2_Node_20,0.25,0.035
Section-2,21,-20.32255565,13.99105657,1.0,FHNode120,Section-2_Node_21,0.25,0.035
Section-2,22,-21.92124093,11.30118516,1.0,FHNode121,Section-2_Node_22,0.25,0.035
Section-2,23,-23.16603336,8.43174659,1.0,FHNode122,Section-2_Node_23,0.25,0.035
Section-2,24,-24.03720095,5.42904125,1.0,FHNode123,Section-2_Node_24,0.25,0.035
Section-2,25,-24.52103755,2.34147519,1.0,FHNode124,Section-2_Node_25,0.25,0.035
Section-2,26,-24.61007838,-0.78122024,1.0,FHNode125,Section-2_Node_26,0.25,0.035
Section-2,27,-24.30321497,-3.88878941,1.0,FHNode126,Section-2_Node_27,0.25,0.035
